Rank,Title,Production Budget (for the top 21),Release Date,Distributor,Rating,Genre,2011 Gross,Tickets Sold,Inflation Adjusted Gross,Runlength
1,Harry Potter and the Deathly Hallows: Part II,125000000,7/15/11,Warner Bros.,PG-13,Action/Adventure,"$381,011,219 ",48046812,"$379,089,347 ",140 min
2,Transformers: Dark of the Moon,195000000,6/29/11,Paramount Pictures,PG-13,Action/Adventure,"$352,390,543 ",44437647,"$350,613,035 ",154 min
3,"The Twilight Saga: Breaking Dawn, Part 1",127500000,11/18/11,Summit Entertainment,PG-13,Drama,"$276,125,476 ",34820363,"$274,732,664 ",108 min
4,The Hangover Part II,80000000,5/26/11,Warner Bros.,R,Comedy,"$254,464,305 ",32088815,"$253,180,750 ",102 min
5,Pirates of the Caribbean: On Stranger Tides,250000000,5/20/11,Walt Disney Pictures,PG-13,Action/Adventure,"$241,063,875 ",30398975,"$239,847,913 ",137 min
6,Fast Five,125000000,4/29/11,Universal,PG-13,Action/Adventure,"$210,031,325 ",26485665,"$208,971,897 ",130 min
7,Cars 2,200000000,6/24/11,Walt Disney Pictures,G,Action/Adventure,"$191,450,875 ",24142607,"$190,485,169 ",113 min
8,Thor,150000000,5/6/11,Paramount Pictures,PG-13,Action/Adventure,"$181,030,624 ",22828578,"$180,117,480 ",115 min
9,Rise of the Planet of the Apes,93000000,8/5/11,20th Century Fox,PG-13,Action/Adventure,"$176,760,185 ",22290061,"$175,868,581 ",110 min
10,Captain America: The First Avenger,140000000,7/22/11,Paramount Pictures,PG-13,Action/Adventure,"$176,654,505 ",22276735,"$175,763,439 ",125 min
11,The Help,25000000,8/10/11,Walt Disney Pictures,PG-13,Drama,"$169,499,546 ",21374470,"$168,644,568 ",137 min
12,Bridesmaids,32500000,5/13/11,Universal,R,Comedy,"$169,211,718 ",21338174,"$168,358,193 ",125 min
13,Kung Fu Panda 2,150000000,5/26/11,Paramount Pictures,PG,Action/Adventure,"$165,249,063 ",20838469,"$164,415,520 ",91 min
14,X-Men: First Class,160000000,6/3/11,20th Century Fox,PG-13,Action/Adventure,"$146,408,305 ",18462586,"$145,669,804 ",131 min
